Loại xe + Năm SX,Tên xe,Giá xe,Nơi bán,Liên hệ,Link xe,Ngày đăng,Lượt xem,Năm sản xuất:,Tình trạng:,Số Km đã đi:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:
Xe cũ - 2010,Rolls Royce Ghost 6.6 V12 - 2010,4 Tỷ 350 Tr.,Hà Nội,"LH: Diamond Luxury Car 45, 46 D11, Glemxico, Lê Trọng Tấn, Hoài Đức, Hà Nội ĐT:",https://bonbanh.com/xe-rolls_royce-ghost-6.6-v12-2010-6281052,12/11/2025,1,2010,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Xăng  6.6 L,Đen,Đỏ,4 chỗ,4 cửa
Xe cũ - 2015,Porsche Panamera 3.6 V6 - 2015,1 Tỷ 590 Tr.,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,https://bonbanh.com/xe-porsche-panamera-3.6-v6-2015-6464825,12/11/2025,2,2015,Xe đã dùng,"48,000 Km",Nhập khẩu,Sedan,Xăng  3.6 L,Trắng,Kem,4 chỗ,4 cửa
Xe cũ - 2022,Toyota Camry 2.5HV - 2022,1 Tỷ 255 Tr.,Hà Nội,LH: Trang Nguyen 8 Ngô Gia Tự Long Biên ĐT:,https://bonbanh.com/xe-toyota-camry-2.5hv-2022-6521553,12/11/2025,1,2022,Xe đã dùng,"28,300 Km",Nhập khẩu,Sedan,Hybrid  2.5 L,Trắng,Kem,5 chỗ,4 cửa
Xe cũ - 2019,Honda CRV G - 2019,695 Triệu,Hà Nội,LH: Trang Nguyen 8 Ngô Gia Tự Long Biên ĐT:,https://bonbanh.com/xe-honda-crv-g-2019-6523910,12/11/2025,1,2019,Xe đã dùng,"64,000 Km",Nhập khẩu,SUV,Xăng  1.5 L,Trắng,Đen,7 chỗ,5 cửa
Xe cũ - 2021,Porsche Macan 2.0 - 2021,2 Tỷ 790 Tr.,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,https://bonbanh.com/xe-porsche-macan-2.0-2021-6259413,12/11/2025,1,2021,Xe đã dùng,"40,000 Km",Nhập khẩu,SUV,Xăng  2.0 L,Trắng,Đen,5 chỗ,5 cửa
Xe cũ - 2024,Volkswagen Viloran Luxury - 2024,2 Tỷ 190 Tr.,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",https://bonbanh.com/xe-volkswagen-viloran-luxury-2024-6388570,12/11/2025,1,2024,Xe đã dùng,"12,000 Km",Nhập khẩu,Van/Minivan,Xăng  2.0 L,Vàng,Kem,7 chỗ,5 cửa
Xe cũ - 2015,Lexus LX 570 - 2015,3 Tỷ 188 Tr.,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",https://bonbanh.com/xe-lexus-lx-570-2015-6498824,12/11/2025,3,2015,Xe đã dùng,"110,000 Km",Nhập khẩu,SUV,Xăng  5.7 L,Đen,Nâu,7 chỗ,5 cửa
Xe cũ - 2022,LandRover Range Rover Sport Dynamic SE P400 3.0 AT - 2022,5 Tỷ 930 Tr.,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,https://bonbanh.com/xe-landrover-range_rover_sport-dynamic-se-p400-3.0-at-2022-6448084,12/11/2025,2,2022,Xe đã dùng,"14,000 Km",Nhập khẩu,SUV,Xăng  3.0 L,Trắng,Đỏ,7 chỗ,5 cửa
Xe cũ - 2015,Lexus LX 570 - 2015,3 Tỷ 190 Tr.,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,https://bonbanh.com/xe-lexus-lx-570-2015-6468388,12/11/2025,2,2015,Xe đã dùng,"110,000 Km",Nhập khẩu,SUV,Xăng  5.7 L,Đen,Nâu,7 chỗ,5 cửa
Xe cũ - 2019,Toyota Alphard Executive Lounge - 2019,3 Tỷ 50 Tr.,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,https://bonbanh.com/xe-toyota-alphard-executive-lounge-2019-6502653,12/11/2025,3,2019,Xe đã dùng,"66,000 Km",Nhập khẩu,Van/Minivan,Xăng  3.5 L,Đen,Đen,7 chỗ,5 cửa
Xe cũ - 2025,Lexus LM 500h - 2025,9 Tỷ 290 Tr.,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",https://bonbanh.com/xe-lexus-lm-500h-2025-6403325,12/11/2025,2,2025,Xe đã dùng,"2,000 Km",Nhập khẩu,Van/Minivan,Hybrid  2.4 L,Đen,Đen,6 chỗ,5 cửa
Xe cũ - 2025,Lexus LM 500h - 2025,9 Tỷ 290 Tr.,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,https://bonbanh.com/xe-lexus-lm-500h-2025-6403965,12/11/2025,2,2025,Xe đã dùng,"2,000 Km",Nhập khẩu,Van/Minivan,Hybrid  2.4 L,Đen,Đen,6 chỗ,5 cửa
Xe cũ - 2017,Porsche Macan 2.0 - 2017,1 Tỷ 690 Tr.,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,https://bonbanh.com/xe-porsche-macan-2.0-2017-6366327,12/11/2025,3,2017,Xe đã dùng,"69,000 Km",Nhập khẩu,SUV,Xăng  2.0 L,Đen,Đỏ,5 chỗ,5 cửa
Xe cũ - 2015,Lexus ES 350 - 2015,1 Tỷ 50 Tr.,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",https://bonbanh.com/xe-lexus-es-350-2015-5774413,12/11/2025,3,2015,Xe đã dùng,"73,000 Km",Nhập khẩu,Sedan,Xăng  3.5 L,Đen,Kem,5 chỗ,4 cửa
Xe cũ - 2017,Porsche Macan 2.0 - 2017,1 Tỷ 690 Tr.,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",https://bonbanh.com/xe-porsche-macan-2.0-2017-6359125,12/11/2025,2,2017,Xe đã dùng,"68,000 Km",Nhập khẩu,SUV,Xăng  2.0 L,Đen,Đỏ,5 chỗ,5 cửa
Xe cũ - 2022,Lexus ES 250 - 2022,2 Tỷ 190 Tr.,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",https://bonbanh.com/xe-lexus-es-250-2022-6126598,12/11/2025,3,2022,Xe đã dùng,"29,500 Km",Nhập khẩu,Sedan,Xăng  2.5 L,Xanh,Nâu,5 chỗ,4 cửa
Xe cũ - 2019,Mercedes Benz GLC 200 - 2019,950 Triệu,Hà Nội,"LH: Diamond Luxury Car 45, 46 D11, Glemxico, Lê Trọng Tấn, Hoài Đức, Hà Nội ĐT:",https://bonbanh.com/xe-mercedes_benz-glc-200-2019-6519860,12/11/2025,2,2019,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Xăng  2.0 L,Trắng,Nâu,5 chỗ,5 cửa
Xe cũ - 2015,Lexus LX 570 - 2015,3 Tỷ 199 Tr.,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",https://bonbanh.com/xe-lexus-lx-570-2015-6468396,12/11/2025,4,2015,Xe đã dùng,"100,000 Km",Nhập khẩu,SUV,Xăng  5.7 L,Đen,Nâu,7 chỗ,5 cửa
Xe cũ - 2016,Mercedes Benz S class S400L - 2016,1 Tỷ 200 Tr.,Hà Nội,"LH: Quang Anh 25t2 Hoàng Đạo Thúy, phường Yên Hò ĐT: -",https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-6477917,12/11/2025,2,2016,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng  3.0 L,Đen,Nâu,5 chỗ,4 cửa
Xe cũ - 2017,Hyundai i10 Grand 1.2 MT - 2017,170 Triệu,Hà Nội,LH: Bắc Nguyễn 388 Nguyễn Xiển Thanh Xuân Hà Nội ĐT:,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-2017-6524265,12/11/2025,3,2017,Xe đã dùng,"80,000 Km",Nhập khẩu,Sedan,Xăng  1.25 L,Bạc,Đen,5 chỗ,4 cửa
